image_#,t_optimal_median_gaussian_eme,eme_at_t0_median_gaussian,eme_at_t_optimal_median_gaussian,t_optimal_emee_median_gaussian,emee_at_t0_median_gaussian,emee_at_t_optimal_median_gaussian,t_optimal_ame_median_gaussian,ame_at_t0_median_gaussian,ame_at_t_optimal_median_gaussian,t_optimal_eme_original_grayscale,eme_at_t0_original_grayscale,eme_at_t_optimal_original_grayscale,t_optimal_emee_original_grayscale,emee_at_t0_original_grayscale,emee_at_t_optimal_original_grayscale,t_optimal_ame_original_grayscale,ame_at_t0_original_grayscale,ame_at_t_optimal_original_grayscale,t_optimal_eme_median_filtered,eme_at_t0_median_filtered,eme_at_t_optimal_median_filtered,t_optimal_emee_median_filtered,emee_at_t0_median_filtered,emee_at_t_optimal_median_filtered,t_optimal_ame_median_filtered,ame_at_t0_median_filtered,ame_at_t_optimal_median_filtered
1,24,579.8324797702624,580.9509999082095,24,1.8567272322347235,1.8915043397260127,33,-0.14508876299834728,-0.12717871519473944,29,706.3884140717789,709.6238226212316,30,1.9411807765911093,1.9877104647890924,30,-0.12545260114554066,-0.10840961669491893,24,610.1893803975856,611.3178086161026,24,1.8674715438025333,1.9017346518455485,34,-0.14532751122876067,-0.12776936961525767
2,5,558.3772511164977,560.4224651101221,18,1.9810984852757794,2.003109526686097,22,-0.06734775958013244,-0.05732754306456891,1,666.436338091184,700.6919530924805,1,2.0241369682192025,2.1130536681635275,25,-0.059261998753092404,-0.04881030372957858,4,610.2676992752404,611.6245232357523,19,2.014024592920914,2.030043468326117,23,-0.06763399878170293,-0.05811650573063216
3,5,793.254235358046,793.5758326757586,38,2.112101539407012,2.126009391627832,84,-0.17266986172798512,-0.16163191524323947,13,914.1855679283135,917.1879099783492,56,2.156770036356702,2.1826336827220563,79,-0.1560000410741721,-0.14678582200693968,12,787.5366833972688,789.5240916454574,57,2.091605529795508,2.1119967744634147,84,-0.17362539347103245,-0.1638818048991433
4,1,714.4380925855239,715.6541436806073,0,1.6741523317914833,1.6741523317914833,41,-0.08940866068216569,-0.08508756699234665,1,804.9074197991815,819.583171016714,0,1.8096952672781748,1.8096952672781748,0,-0.08019403827221715,-0.08019403827221715,1,746.0289304773668,746.9391648503029,0,1.7103062573811145,1.7103062573811145,40,-0.0904198790022535,-0.08710225800339788
5,28,1039.8664338321282,1039.9975011708016,93,2.162922170325533,2.1675430754186293,121,-0.1195593330606859,-0.11511226492859712,1,1193.4823466330758,1197.652628146326,0,2.2583141792839823,2.2583141792839823,0,-0.1082166212095338,-0.1082166212095338,27,1085.3097920097043,1085.6015253600854,92,2.1846002398653956,2.1918095550820644,118,-0.11716449495202431,-0.1125894702426622
6,1,714.4380925855239,715.6541436806073,0,1.6741523317914833,1.6741523317914833,41,-0.08940866068216569,-0.08508756699234665,1,804.9074197991815,819.583171016714,0,1.8096952672781748,1.8096952672781748,0,-0.08019403827221715,-0.08019403827221715,1,746.0289304773668,746.9391648503029,0,1.7103062573811145,1.7103062573811145,40,-0.0904198790022535,-0.08710225800339788
7,9,670.05013282879,674.3412006125801,31,2.0707452795476113,2.1012621953783372,31,-0.0517178039794901,-0.04342695663304428,14,781.0237120896362,786.9841272318545,0,2.1997596901170384,2.1997596901170384,0,-0.04659760623136815,-0.04659760623136815,11,697.260179099696,702.7059835263989,30,2.067124455551911,2.1088636557462634,30,-0.05300690464326494,-0.04341276219052591
8,9,691.0647876733317,692.0930406129788,37,1.9156283346996212,1.9430265369886979,37,-0.1257389504809762,-0.11102253816056569,2,781.4842981477168,795.5441528528169,36,1.9710216223666284,2.012163753936225,36,-0.11090411122388298,-0.0971939110371058,9,684.1384926796541,687.3625248191066,37,1.901621122911439,1.9362163326986752,37,-0.12601925385356494,-0.11124255836749458
9,2,627.747077656984,629.4996768129156,47,1.9450356457368938,1.9545042226200435,47,-0.09489164829213959,-0.0863886326598112,3,690.2840022275775,693.7499987951211,43,1.902090110977564,1.9417945701894308,43,-0.10276255712967029,-0.08541498964447555,2,619.8308952181281,623.3362304745157,47,1.8677661328066377,1.9064920534260479,47,-0.11096423198782995,-0.09296476789147368
10,1,658.0389427444429,659.0833339098018,40,1.9492591049637833,1.959186532454629,44,-0.12037586249731426,-0.10949131340804262,3,763.3746237106626,765.5468338242583,43,2.0223078878895926,2.0418812134510524,43,-0.1023425856517619,-0.09226840093842806,1,693.3442885149634,694.3991235919759,40,1.9645873480732836,1.9754158577115053,44,-0.11825809464338286,-0.10753773541106322
